id,name,price,original_price,discount_rate,rating_average,review_count,thumbnail_url,url_key,category_id,category_name
43181192,CHÂN VÁY PHỐI NÚT SANG CHẢNH HELEN,138000,138000,0,3.8,34,https://salt.tikicdn.com/cache/280x280/ts/product/48/e6/66/942bcced89647137779bbb87767dd77f.jpg,chan-vay-phoi-nut-sang-chanh-helen-p43181192,931,thoi_trang_nu
36061260,Áo Len Nữ Áo Cardigan Áo Khoác Nhẹ MAY_ALN025 MayHomes - Đen,145000,145000,0,4.6,221,https://salt.tikicdn.com/cache/280x280/ts/product/d8/7e/61/ddf1dcd0e882efaae715a4a3e46afae3.png,ao-khoac-len-nu-co-dinh-cuc-ngoc-mhal025-mayhomes-p36061260,931,thoi_trang_nu
14257817,Combo 10 Quần Lót Nữ Modal Miley Lingerie New Color - Giao Màu Ngẫu Nhiên,553000,790000,30,4.7,270,https://salt.tikicdn.com/cache/280x280/ts/product/ca/12/a7/c450ae43d25a1bd0262c164d0770e811.png,combo-10-quan-lot-nu-modal-miley-lingerie-new-color-giao-mau-ngau-nhien-p14257817,931,thoi_trang_nu
275377221,Giày Sandal Cao Gót Da Bò BIGGBEN Cao 8 Phân SDCG130,379000,500000,24,5.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/f7/b4/6d/5e9c2b4f70b0bc1a865877e310fb3cf6.jpg,giay-sandal-cao-got-da-bo-biggben-cao-8-phan-sdcg130-p275377221,1703,do_choi
275140754,"Dép tổ ong [Size 35-38] KÈM STICKER NGẪU NHIÊN cao cấp siêu bền, siêu nhẹ, chống trơn trượt",68000,100000,32,5.0,5,https://salt.tikicdn.com/cache/280x280/ts/product/80/44/e0/d68cbeef709aa3d8221f8e1de6108535.jpg,dep-to-ong-size-35-38-kem-sticker-ngau-nhien-vat-lieu-eva-cao-cap-sieu-ben-sieu-nhe-chong-tron-truot-p275140754,1703,do_choi
274938961,"Giày thể thao nữ, giày chạy bộ đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn  – GNU2066",360000,720000,50,4.7,3,https://salt.tikicdn.com/cache/280x280/ts/product/84/30/22/620283432b3ce4a14d8db04f2a057b37.jpg,giay-the-thao-nu-giay-chay-bo-de-em-nhe-thoang-khi-de-cao-su-duc-chong-tron-truot-han-che-mon-gnu2066-p274938961,1703,do_choi
274716048,Sandal Bitis trệt nữ (35-40),325000,325000,0,5.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/aa/99/8c/1aa66e27ac0a1bd9e90264d73259b114.jpg,sandal-bitis-tret-nu-35-40-p274716048,1703,do_choi
274657854,Giày Sandal Cao Gót Da Bò BIGGBEN Cao 5 Phân SDCG124,329000,450000,27,4.5,2,https://salt.tikicdn.com/cache/280x280/ts/product/f1/36/fe/7f6a0dcbc8b96f5f8dfa4bff1210f23e.jpg,giay-sandal-cao-got-da-bo-biggben-cao-5-phan-sdcg124-p274657854,1703,do_choi
274564865,Lọ Nước Lau Giày Túi Xách Plac Chai Cọ Tẩy Trắng Giày Sneaker Đầu Chổi - Lọ Nước Đánh Vết Ố Bẩn - Chà Giặt Khô Lau Làm Sạch Giầy  Lọ Nước Đánh Vết Ố Bẩn - Chà Giặt Khô Lau Làm Sạch Giầy,7000,7000,0,4.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/0f/c7/de/f8a3805895c08e9bd15fe48f6a568490.jpg,lo-nuoc-lau-giay-tui-xach-plac-chai-co-tay-trang-giay-sneaker-dau-choi-lo-nuoc-danh-vet-o-ban-cha-giat-kho-lau-lam-sach-giay-lo-nuoc-danh-vet-o-ban-cha-giat-kho-lau-lam-sach-giay-p274564865,1703,do_choi
274337143,"Dép Mang Trong Nhà Bằng Vải Cho Khách Sạn, Homestay",30000,30000,0,5.0,12,https://salt.tikicdn.com/cache/280x280/ts/product/ed/0a/80/a25fd56eb06002fd1e573917b29127d9.jpg,dep-mang-trong-nha-bang-vai-cho-khach-san-homestay-p274337143,1703,do_choi
